Unnamed: 0,customer_id,gender,location,partner,dependents,senior,Tenure,monthly_cost,package,survey,Class
0,K3713,Male,Hampshire,0,1,0,12.0,,1,6.0,Churn=No
1,D9048,Male,Greater Manchester,1,1,0,21.0,,4,6.0,Churn=No
2,K8227,Female,West Yorkshire,0,0,0,0.0,,1,4.0,Churn=Yes
3,H3533,Male,Greater London,1,1,1,11.0,,2,4.0,Churn=No
4,J4501,Male,Greater London,0,1,0,7.0,,4,2.0,Churn=Yes
5,K3269,Female,Greater Manchester,1,1,0,18.0,,1,3.0,Churn=No
6,D1463,Female,Essex,1,1,0,16.0,,4,8.0,Churn=No
7,E1851,Male,North Yorkshire,0,0,0,2.0,,1,4.0,Churn=No
8,H3588,Female,Greater London,1,1,0,12.0,,3,1.0,Churn=Yes
9,H8145,Female,Greater London,0,1,0,5.0,,1,6.0,Churn=No
10,I9119,Male,Hampshire,0,1,0,19.0,,1,8.0,Churn=No
11,F5284,Female,Greater London,1,1,1,19.0,,2,5.0,Churn=Yes
12,E6031,Male,Kent,1,1,0,1.0,,1,4.0,Churn=Yes
13,F5068,Female,Merseyside,1,1,0,4.0,,4,4.0,Churn=No
14,E4070,Male,Hertfordshire,1,1,0,13.0,,4,7.0,Churn=No
15,D7566,Female,Hampshire,1,1,0,16.0,,4,5.0,Churn=No
16,J5104,Male,Hertfordshire,1,1,0,8.0,,3,7.0,Churn=No
17,K6146,Female,West Yorkshire,1,0,1,13.0,,2,3.0,Churn=No
18,G6260,Female,Hampshire,0,1,0,5.0,,3,5.0,Churn=No
19,B6930,Male,Greater London,1,1,1,17.0,$33049,2,6.0,
20,G8685,Male,Greater Manchester,1,1,0,12.0,,1,3.0,Churn=No
21,K5272,Male,Greater London,1,1,1,2.0,,2,7.0,Churn=No
22,J1747,Male,Greater London,1,1,0,14.0,,2,4.696087084436599,Churn=No
23,D1889,Male,Lancashire,1,1,0,7.0,,4,8.0,Churn=No
24,K7900,Female,Greater Manchester,0,0,1,2.0,,2,6.0,Churn=No
25,G5074,Female,Greater London,1,1,0,7.0,,1,9.0,Churn=No
26,I2482,Female,Surrey,1,1,0,8.0,,4,5.0,Churn=No
27,D9655,Female,Greater London,0,0,0,0.0,,2,4.0,Churn=Yes
28,F3505,Male,Greater London,0,1,1,0.0,,2,8.0,Churn=No
29,D1405,Female,Hertfordshire,0,0,1,0.0,,2,4.0,Churn=No
30,B7560,Male,Greater London,0,0,1,8.0,,2,2.0,Churn=No
31,G4768,Male,Greater London,1,1,0,8.0,,1,6.0,Churn=No
32,B8168,Female,North Yorkshire,0,1,0,20.0,,2,5.0,Churn=No
33,K2495,Male,Kent,0,1,0,10.0,,1,4.0,Churn=Yes
34,G6917,Female,Kent,0,1,0,11.0,,1,4.696087084436599,Churn=No
35,I7761,Female,North Yorkshire,1,1,1,9.0,,4,3.0,Churn=Yes
36,E5182,Female,West Midlands,1,1,0,13.0,,4,7.0,Churn=No
37,B6517,Male,Greater London,0,0,0,1.0,,1,3.0,Churn=Yes
38,H9798,Female,Greater London,0,1,0,19.0,,1,7.0,Churn=No
39,B1276,Female,Greater London,0,1,0,5.0,,2,4.696087084436599,Churn=Yes
40,A1171,Male,Greater London,1,1,0,1.0,,4,5.0,Churn=Yes
41,I8442,Female,Greater Manchester,0,1,0,8.0,,1,7.0,Churn=No
42,C9214,Female,West Yorkshire,1,1,0,9.0,,4,1.0,Churn=No
43,B9362,Female,South Yorkshire,1,1,0,11.0,,1,4.0,Churn=No
44,K2012,Female,Greater London,0,1,0,15.0,,1,4.696087084436599,Churn=No
45,D2649,Female,Greater London,1,1,0,15.0,,1,5.0,Churn=No
46,E1064,Female,West Yorkshire,0,1,0,15.0,,2,4.696087084436599,Churn=No
47,K4004,Male,Greater Manchester,1,1,0,2.0,,4,8.0,Churn=No
48,E2714,Female,Greater London,1,1,0,24.0,,3,6.0,Churn=No
49,K4793,Male,South Yorkshire,0,1,1,7.0,,2,7.0,Churn=No
50,I4451,Male,West Midlands,1,0,0,2.0,,1,1.0,Churn=Yes
51,K2475,Male,Essex,0,0,0,8.0,,2,0.0,Churn=Yes
52,I8103,Female,Hampshire,1,1,0,18.0,,4,3.0,Churn=No
53,K4786,Male,Hampshire,1,1,0,14.0,,4,6.0,Churn=No
54,D4573,Male,Greater London,1,1,0,8.0,,2,3.0,Churn=No
